timestamp,test-class,test-method,time,description,result
2022-02-25 22:53:52.28,acme.testing.FavouriteLinkTest,favouriteLink,5187,"favouriteLink()",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='mainMenu']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Favourite link']'
2022-02-25 22:54:10.836,acme.testing.SignUpTest,positiveSignUp,16974,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co",OK
2022-02-25 22:54:23.099,acme.testing.SignUpTest,positiveSignUp,11904,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co",OK
2022-02-25 22:54:36.526,acme.testing.SignUpTest,positiveSignUp,13076,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=Networks, Inc.",OK
2022-02-25 22:54:49.329,acme.testing.SignUpTest,positiveSignUp,12117,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=Networks, Inc.",OK
2022-02-25 22:55:01.813,acme.testing.SignUpTest,positiveSignUp,11875,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=Baby Care, GmbH",OK
2022-02-25 22:55:13.889,acme.testing.SignUpTest,positiveSignUp,11727,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=Baby Care, GmbH",OK
2022-02-25 22:55:26.055,acme.testing.SignUpTest,positiveSignUp,11833,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=Like children",OK
2022-02-25 22:55:39.559,acme.testing.SignUpTest,positiveSignUp,13111,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=Good at WIS development",OK
2022-02-25 22:55:52.401,acme.testing.SignUpTest,positiveSignUp,12160,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=Good at playing the piano",OK
2022-02-25 22:56:04.511,acme.testing.SignUpTest,positiveSignUp,11605,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=N/A",OK
2022-02-25 22:56:17.335,acme.testing.SignUpTest,positiveSignUp,12491,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=Like spiders",OK
2022-02-25 22:56:32.2,acme.testing.SignUpTest,positiveSignUp,14228,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=Java EE, HTML, CSS, JavaScript, JSP",OK
