timestamp,test-class,test-method,time,description,result
2022-02-25 23:19:34.897,acme.testing.FavouriteLinkTest,favouriteLink,5215,"favouriteLink()",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='45972333W: Álvarez Campanón, Juan José']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Favourite link']'
2022-02-25 23:19:54.838,acme.testing.SignUpTest,positiveSignUp,18347,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co",OK
2022-02-25 23:20:08.063,acme.testing.SignUpTest,positiveSignUp,12434,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co",OK
2022-02-25 23:20:22.097,acme.testing.SignUpTest,positiveSignUp,13278,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=Networks, Inc.",OK
2022-02-25 23:20:37.034,acme.testing.SignUpTest,positiveSignUp,14174,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=Networks, Inc.",OK
2022-02-25 23:20:50.828,acme.testing.SignUpTest,positiveSignUp,13387,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=Baby Care, GmbH",OK
2022-02-25 23:21:04.458,acme.testing.SignUpTest,positiveSignUp,12898,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=Baby Care, GmbH",OK
2022-02-25 23:21:17.158,acme.testing.SignUpTest,positiveSignUp,12356,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=Like children",OK
2022-02-25 23:21:30.67,acme.testing.SignUpTest,positiveSignUp,13156,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=Good at WIS development",OK
2022-02-25 23:21:44.096,acme.testing.SignUpTest,positiveSignUp,12799,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=Good at playing the piano",OK
2022-02-25 23:21:56.735,acme.testing.SignUpTest,positiveSignUp,12284,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=N/A",OK
2022-02-25 23:22:10.21,acme.testing.SignUpTest,positiveSignUp,13084,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=Like spiders",OK
2022-02-25 23:22:22.996,acme.testing.SignUpTest,positiveSignUp,12130,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=Java EE, HTML, CSS, JavaScript, JSP",OK
