timestamp,test-class,test-method,time,description,result
2022-02-25 22:33:00.852,acme.testing.FavouriteLinkTest,favouriteLink,3065,"favouriteLink()",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Anonymous']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Favourite link']'
2022-02-25 22:33:17.576,acme.testing.SignUpTest,positiveSignUp,15727,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co",OK
2022-02-25 22:33:30.429,acme.testing.SignUpTest,positiveSignUp,12169,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co",OK
2022-02-25 22:33:43.505,acme.testing.SignUpTest,positiveSignUp,12692,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=Networks, Inc.",OK
2022-02-25 22:33:55.718,acme.testing.SignUpTest,positiveSignUp,11571,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=Networks, Inc.",OK
2022-02-25 22:34:07.898,acme.testing.SignUpTest,positiveSignUp,11848,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=Baby Care, GmbH",OK
2022-02-25 22:34:21.317,acme.testing.SignUpTest,positiveSignUp,13074,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=Baby Care, GmbH",OK
2022-02-25 22:34:33.252,acme.testing.SignUpTest,positiveSignUp,11617,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=Like children",OK
2022-02-25 22:34:45.601,acme.testing.SignUpTest,positiveSignUp,11984,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=Good at WIS development",OK
2022-02-25 22:34:58.636,acme.testing.SignUpTest,positiveSignUp,12668,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=Good at playing the piano",OK
2022-02-25 22:35:11.304,acme.testing.SignUpTest,positiveSignUp,12104,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=N/A",OK
2022-02-25 22:35:24.089,acme.testing.SignUpTest,positiveSignUp,12452,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=Like spiders",OK
2022-02-25 22:35:36.246,acme.testing.SignUpTest,positiveSignUp,11576,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=Java EE, HTML, CSS, JavaScript, JSP",OK
